Organizer,Edition,Category,Registration Fee,Squad Member Count,Length,Start Time,Location,Squads
Vortex Quiz Factory,Kviz u Fooliru,General Knowledge,3 EUR per player,1 - 4,150 min,Tomorrow @ 20:00,"Foolir bar|Slavenskoga ul. 1, 10000, Zagreb, Croatia","['Dva i pol muškarca', 'drhtulja mrkulja', 'Dirty Koalas', 'Bogi i Zohari']"
Gala Mrav,PAPALINO KVIZ LIGA #10 (petak),General Knowledge,2.5 EUR per player,2 - 5,150 min,Fri @ 20:00,"Caffe Bar Papalino|Dubečka ul. 11, 10360, Sesvete, Croatia","['2.5 Janjevca', 'Šulkolege', 'A je to', 'Lin-Tin', 'Veprići', 'Anadolu FSB', 'Genkara', 'Nadražen Zečić', 'Večernja škola', 'Nepalska Republika Dubec', 'Gossip Girls', 'Špar Ekselans', 'Kmica', 'Agrameri']"
LUCKY QUIZ,LUCKY QUIZ U SPUNKU #44,General Knowledge,2 EUR per player,1 - 5,120 min,Tomorrow @ 20:00,"Caffe bar Spunk|Ul. Hrvatske bratske zajednice 4, 10000, Zagreb, Croatia","['Pametnom tosta', 'Bezimeni', 'Femininomenons', 'Ivana i Ivan', 'Zborg', 'Apostoli opata Držihe', 'Uncuti']"
Hedokvizam,Hedokvizam #90,General Knowledge,2 EUR per player,1 - 5,140 min,Tomorrow @ 20:00,"Caffe bar Virtuoz|Ul. Kneza Mislava 9, 10000, Zagreb, Croatia","['Marko Kvizaja', 'Prometni pokušaj', 'Gibonni', 'Klamidija Bačić', 'Banans', 'Pishadoo', '2 i pol znalca', 'Cipiripi', 'Kamatarke', 'Krešić', 'Sprč i ili']"
Kvizipedija,Kviz općeg znanja na Vukovarskoj,General Knowledge,2 EUR per player,2 - 5,150 min,Tomorrow @ 19:30,"The Coffee Bean|10000, Trnje, Zagreb, Croatia","['Keni West', 'Donatella VERSACE 💜', 'IOT', 'Rekreativci', 'Sendvičari', 'Mokre kifle', 'Stipina djeca', 'Nismo jos smislili']"
Fast Facts,Kviz u OUT Gardenu,General Knowledge,10 EUR per team,2 - 5,150 min,Today @ 20:00,"OUT Garden Restaurant|Ilica 16, 10000, Zagreb, Croatia","['ŠŠ', 'Alzheimer na kvadrat', 'Iku Dvesta', 'MSSK', 'Na Drini Kurčina', 'Karma', 'Dundo Karoje', 'Fosilni Lobiji', 'Ko gaađaa ledom?!', 'Urokani Klokani', 'Konstantno Veliki', 'Mlađi Botaničari', 'Leo Pravi Gulaš', 'Antibit', 'Knez i Knezovi', 'Ante Estrada', 'Najslabija Karika', 'Kviz Tim 2', 'Pametnom Tosta', 'Snjeguljica i 7 grama', 'Bjelolasica', 'Tinder Pingui', 'Pjesniki', 'Jednokratna Amblamaža']"
Fast Facts,Kviz u IQ Baru,General Knowledge,10 EUR per team,2 - 5,150 min,Tomorrow @ 20:00,"IQ bar|Ul. Lavoslava Ružičke 66, 10000, Zagreb, Croatia","['4.A', '7 svjetskih muda', 'Astrološki Lavovi', 'Svaka Čast', 'Karanje nije varanje', 'FAK d.d.', 'Kauč do zida', 'Miševi', 'Jazz Sesija', 'Kamere P. Diddyja', 'Petar 1', 'Zmijanci', 'Psići u Oplodnji', 'De dobro je', 'Stršljen Spašen', 'Nije nam jasno', 'Tupi Krut', 'Jel prodaje tko rakije?', '11 bubrega', 'Radiša Trajković Đani Maršan', 'Pat i Mat', 'Kamilfica']"
Fast Facts,Kviz u Golden Monkey Pubu,General Knowledge,10 EUR per team,2 - 5,150 min,Today @ 20:00,"Golden Monkey Pub|Ul. kralja Zvonimira 3, 10410, Velika Gorica, Croatia","['Fishmongeri', 'Tko Zvoni Taj Zna', 'Lakrdijanci', 'Šinteraj', 'Kučani']"
IQuiz,IQuiz CXXXIII (133) + promocija knjige,General Knowledge,10 EUR per team,2 - 5,150 min,Tue @ 20:00,"IQ bar|Ul. Lavoslava Ružičke 66, 10000, Zagreb, Croatia","['Rozi jednorozi', 'Retoričko pipanje', 'Oralne hijene', 'Nepovratna amblamaža', 'Subliminalni desničari', 'Petar1', 'Rekvizit', 'Ukusne voćkice', 'Branko', 'Matea', 'Fourierovi sinovi', 'More?', 'Đumbirova družina', 'Bro-Đani', 'Laura', 'VVS', 'Faksolinjo', 'Petru (Sučić) za predsjednicu', 'Mrk', 'VSS', 'Isus Kvizt', 'Povratna amblamaža']"
